name_o,name_d,total_pop_flow,d,s,area_o,area_d,m_o,m_d,food_point_o,food_poly_o,health_point_o,health_poly_o,industrial_landuse_o,main_road_line_o,natural_landuse_o,residential_landuse_o,retail_landuse_o,commercial_landuse_o,retail_point_o,retail_poly_o,school_point_o,school_poly_o,transport_point_o,transport_poly_o,entertainment_point_o,entertainment_poly_o,food_point_d,food_poly_d,health_point_d,health_poly_d,industrial_landuse_d,main_road_line_d,natural_landuse_d,residential_landuse_d,retail_landuse_d,commercial_landuse_d,retail_point_d,retail_poly_d,school_point_d,school_poly_d,transport_point_d,transport_poly_d,entertainment_point_d,entertainment_poly_d,sk
Lely,Ocala,84.0,344.12622433819723,12991248.0,3.553673,122.394663,3694,63591,1,0.0,0,0.0,0,65.47732255478367,0,43,2,0,3,0.03554014438643194,0,0.0,4,0.017468413556273082,13,1.3081941795374445,39,0.010069478121863141,14,0.13763103692781495,5,1081.4830398620227,6,9,5,3,166,0.47486224793691506,52,1.2482865917689774,413,1.0525390735870594,163,5.09067930954329,21119943.0
Auburndale,Kissimmee,229.0,42.92272486151683,617138.0,35.116157,55.688385,15616,79226,17,0.00434340227669231,6,0.010020563481764711,17,589.2601076937847,1,44,2,1,38,0.1867256227600626,33,0.5736135453857113,367,0.9988998112575779,112,42.37456534117466,43,0.01276741091588976,10,0.16752065523603119,1,801.6453852639095,2,27,0,3,110,0.15891951996609552,17,1.0776015816215994,394,1.1005464705310586,125,12.714748762941872,452851.0
New Smyrna Beach,Vero Beach South,59.0,166.04154497276346,5316930.0,97.879927,30.522487,30142,28020,98,0.015147245569487563,6,0.055717855085654,1,621.4327520724875,1,65,14,11,157,1.2014235025746896,19,0.6358648646034967,365,0.9987267732481202,337,6.990676475396303,21,0.005897276263331445,8,0.0024481269342257715,1,379.9281483175161,0,213,63,48,156,1.020277132138052,5,0.42297940072564816,1520,0.25917016808440646,88,0.16389823149164578,4590149.0
Bartow,Bradenton Beach,35.0,98.25849824103132,4677788.0,120.231292,1.33894,19309,908,19,0.0050867396873488496,3,0.08746805013426047,5,618.2427267778415,4,0,0,1,13,0.025073143014575056,101,0.6629349015547708,36,0.12182895003701194,47,0.56260458214306,6,0.0018910524797615283,0,0.0,0,20.658338143977375,0,0,0,0,9,0.004640536910312798,0,0.0,8,0.019254512604070812,23,0.4841491269399424,7690269.0
Sarasota Springs,West Palm Beach,65.0,240.93988264014965,8015165.0,6.930006,139.389655,12521,117415,6,0.0017741587472726904,3,0.10963098133261498,0,107.21149037264546,0,0,0,0,23,0.01041407393149,7,0.08692177539730454,3,0.010135071631905374,3,0.0003297799347127369,70,0.011928551107577146,17,0.5876815041708451,7,1288.210156102134,6,15,31,9,201,2.182844685887985,0,1.8582394708740468,341,6.425010269827312,407,53.44874992911384,10973139.0
Wellington,Sunny Isles Beach,49.0,80.25664884424312,3202078.0,116.464126,2.61738,61637,22342,16,0.0021911659801764323,14,0.10001411290908657,10,1018.2291843875182,0,142,12,11,58,1.2134399588500948,43,1.222473400388945,273,0.783165639175843,722,50.750557491739194,43,0.0019645713069038353,7,0.0027241784059375946,0,81.63973098200707,0,2,2,0,54,0.182650045380788,3,0.01626257973268924,212,0.24122982751573058,172,0.8468326197026284,6980872.0
Sunrise,West Miami,52.0,46.14675331732364,3529641.0,41.953996,1.836188,97335,7233,81,0.014587318723534831,14,0.039669174719888255,3,861.615376855253,0,48,29,35,159,2.6107513856547713,37,0.7360929635825483,360,1.3118408745106778,276,5.840723468709671,4,0.0,7,0.0019168831023405233,0,42.745328432808144,0,118,26,4,63,0.15409938048385766,14,0.04503864645959797,127,0.01368830618296305,29,0.04903671885737145,7566944.0
Jacksonville,Pompano Beach,88.0,479.29273802763873,10305969.0,1935.492088,62.216264,949611,112046,869,0.3980321916856358,213,3.3771897511539035,1514,14253.316643651488,22,4472,1135,1849,2823,22.814659166279,644,18.307970803334907,4138,59.01815153039318,4672,158.30929090100952,56,0.12528584880605603,11,0.005363555673777108,7,930.3988745433405,3,19,33,16,168,1.853347333149236,55,0.9025547688022106,161,2.736065524053101,309,6.984593236599849,14329251.0
Taylor Creek,Fruitville,55.0,165.40536396819263,7493820.0,7.894943,17.675091,4470,15484,1,0.0,0,0.0,0,50.28372425087393,0,0,0,0,1,0.0,0,0.0,0,0.0,2,0.000268831072618131,21,0.0061767315152995396,1,0.0025411957694768225,0,219.8649409344894,1,2,4,2,32,0.5452044026935575,6,0.14797752982144066,21,0.0968691971655526,49,2.5722920283901476,12236677.0
Westchase,Maitland,55.0,136.66978996806097,4900457.0,25.836776,13.882185,25952,19543,23,0.003421701657230677,3,0.010184892728058757,1,313.64693238831853,0,29,2,0,60,0.3555034117600894,38,0.5537194088113031,26,0.061480756873674616,465,2.8541451389228283,7,0.001502864484976057,2,0.006167741177257058,1,249.89313735817478,0,110,1,4,9,0.6946507757494136,7,0.07467532002840484,44,0.08772167387136952,74,0.23918399612912808,7337281.0
Jacksonville,The Hammocks,29.0,532.3612673307975,13818950.0,1935.492088,20.430604,949611,59480,869,0.3980321916856358,213,3.3771897511539035,1514,14253.316643651488,22,4472,1135,1849,2823,22.814659166279,644,18.307970803334907,4138,59.01815153039318,4672,158.30929090100952,41,0.0016071814774245292,13,0.11971926752761965,0,326.7810355181761,0,4,7,7,130,0.5803551647026398,42,0.4536585153553947,137,0.21054378395172585,99,0.6788423333544273,21895281.0
Hillsboro Beach,Deerfield Beach,2505.0,5.696566655596419,10486.0,0.947189,38.709086,1987,86859,0,0.0,0,0.0,0,11.841624589856009,0,0,0,0,0,0.0,1,0.0,4,0.0011626967894951192,37,0.01024422290923595,58,0.0037420391629602845,14,0.16817998488518132,4,630.6716170772662,2,9,28,12,131,1.2808980847370988,58,0.6280463520662368,110,0.18537447354455894,229,3.723487734657347,45960.0
Brookridge,Homosassa Springs,89.0,29.470347660073838,197206.0,6.56019,65.184927,4658,14283,0,0.0,0,0.0,0,121.73525482193538,0,0,0,0,1,0.0,0,0.0,0,0.0,5,0.7444651934404154,2,0.00014393256119471268,2,0.001316211541164041,0,348.67669160343127,0,10,8,7,17,0.4223889825903306,3,0.1055174599285041,13,0.03766787941874035,17,673.2447776835933,332813.0
Jupiter Farms,South Bay,41.0,57.581235119579354,1091424.0,39.060582,7.411275,12572,4860,1,0.0,0,0.0,2,337.337532235561,0,0,0,0,2,0.0,1,0.2362723142955251,0,0.0,7,5.766940613138391,1,0.0,0,0.0,2,64.44646529983106,0,7,0,1,3,0.0009737886069575207,2,0.05007483379826664,1,0.00882775633292722,11,0.1332171942400196,1754534.0
Sarasota,Brandon,163.0,70.69264890317507,1705603.0,38.065059,85.816233,54842,114626,33,0.008351121743647355,22,0.15269809038647367,1,385.34229589999734,0,12,4,0,125,0.4558937551123213,24,0.8745343640675177,110,4.099530941979323,228,2.570951105480028,161,0.04250252113858929,41,0.17685180420593957,2,1252.7697194438506,1,30,3,12,418,1.3896780513706812,74,1.6632368857019593,318,1.1590101888718924,310,1.9488178439672965,3005734.0
Sarasota,Doral,228.0,275.5207148722056,10656976.0,38.065059,35.829453,54842,75874,33,0.008351121743647355,22,0.15269809038647367,1,385.34229589999734,0,12,4,0,125,0.4558937551123213,24,0.8745343640675177,110,4.099530941979323,228,2.570951105480028,68,0.007584707509073562,13,0.0882585552971188,2,753.3624110126194,0,54,18,4,105,1.3871756900391514,36,0.34085088279792414,554,0.7324820975169941,458,4.535889156431967,16776201.0
Casselberry,Fort Walton Beach,45.0,548.846950225369,15161996.0,18.048551,19.794013,28794,20922,15,0.005637398528240267,3,0.0015564520751833015,1,332.24157619568666,0,14,8,0,41,1.1296080871503345,15,0.02993959836820628,13,0.12942818433845793,77,0.8068409120297606,41,0.014380393907214337,6,0.07294536172769431,0,697.136487620206,0,1,5,0,127,0.4716251903113135,35,0.9586296395753287,301,0.11424293314594641,156,2.0559442954160545,22265696.0
Buenaventura Lakes,East Lake-Orient Park,59.0,105.78090178758028,3665280.0,14.444011,40.957965,30251,28050,4,0.0013955602291855114,1,0.0,0,170.37515142044148,0,8,1,0,15,0.09874767850597269,5,0.20853902364308588,7,0.021184792192784838,22,0.35399987226233526,12,0.00448810924626393,0,0.0,4,488.05561896894545,3,7,1,0,18,0.008762794173432066,46,0.4785746593645995,286,1.8461314723833655,63,2.064826465263539,4400788.0
West Palm Beach,Royal Palm Beach,5696.0,11.224729386540664,83944.0,139.389655,29.381909,117415,38932,70,0.011928551107577146,17,0.5876815041708451,7,1288.210156102134,6,15,31,9,201,2.182844685887985,0,1.8582394708740468,341,6.425010269827312,407,53.44874992911384,19,0.0033699163440451055,6,0.0018456934351988078,2,396.1875919190945,0,21,18,6,45,1.63010621547507,9,0.5622662897731764,45,0.24286820243786145,167,5.983746989870735,335710.0
