name_o,name_d,total_pop_flow,d,s,area_o,area_d,m_o,m_d,food_point_o,food_poly_o,health_point_o,health_poly_o,industrial_landuse_o,main_road_line_o,natural_landuse_o,residential_landuse_o,retail_landuse_o,commercial_landuse_o,retail_point_o,retail_poly_o,school_point_o,school_poly_o,transport_point_o,transport_poly_o,entertainment_point_o,entertainment_poly_o,food_point_d,food_poly_d,health_point_d,health_poly_d,industrial_landuse_d,main_road_line_d,natural_landuse_d,residential_landuse_d,retail_landuse_d,commercial_landuse_d,retail_point_d,retail_poly_d,school_point_d,school_poly_d,transport_point_d,transport_poly_d,entertainment_point_d,entertainment_poly_d,sk
West Yarmouth,Needham,95.0,108.20518963546498,1977410.0,17.325507,31.851573,6278,32091,21,0.006663524916099591,3,0.12752811857292562,1,188.15794652783845,0,7,4,6,46,0.030329885755705492,5,0.29059932919730236,71,0.16842037423239437,133,8.623165895045481,20,0.0036422757421597325,8,0.0241970792277038,1,375.64649232028194,0,1,0,1,29,0.021173017825369216,36,2.268830445521172,479,0.15781320506660804,157,5.238844200996323,2621802.0
Salem,Swampscott,6062.0,3.5145163475063113,0.0,21.481052,7.82679,44480,15111,66,0.007616527240711532,15,0.22788798341295988,1,391.0481349680951,1,12,2,3,65,0.17051673847342377,53,1.0696362451009807,305,0.21463155563511627,372,4.265256463217767,8,0.0030874467836093616,4,0.0026976471512980623,0,101.01008408075309,0,40,2,0,24,0.14015358618483478,13,0.19473535661031155,127,0.04328914904476785,76,1.0877726348115009,0.0
Boston,North Pembroke,435.0,33.037347615783844,1962949.0,125.200663,11.590054,675647,3490,1450,0.05724389443581942,251,1.190334122652692,58,3189.9382382082404,5,148,41,30,1850,1.727495123500378,785,8.400720422852597,6289,12.52209669492453,3156,25.748634780782965,1,0.0,2,0.024520087023732474,0,81.7857113566247,0,1,0,0,6,0.004878794037599378,2,0.09057351982561612,3,0.0013937860183405413,19,2.1875635818135546,2689073.0
Falmouth,Boston,113.0,93.84903875794542,1030782.0,5.407713,125.200663,3818,675647,25,0.003182677030643243,1,0.0015464278487284184,0,121.19512811868918,1,1,1,1,38,0.06584936795149175,9,0.21032298676700623,350,0.1815430501595127,224,0.31498352892286696,1450,0.05724389443581942,251,1.190334122652692,58,3189.9382382082404,5,148,41,30,1850,1.727495123500378,785,8.400720422852597,6289,12.52209669492453,3156,25.748634780782965,1211076.0
Dennis,Falmouth,109.0,39.55477072897614,121832.0,12.719601,5.407713,2399,3818,4,0.001467872226654707,0,0.0,0,91.38387473796386,1,1,0,0,4,0.0014956396170847596,1,0.00046368438872676336,6,0.024527552893811765,46,1.8717765892194926,25,0.003182677030643243,1,0.0015464278487284184,0,121.19512811868918,1,1,1,1,38,0.06584936795149175,9,0.21032298676700623,350,0.1815430501595127,224,0.31498352892286696,257394.0
Swampscott,Salem,4910.0,3.5145163475063113,0.0,7.82679,21.481052,15111,44480,8,0.0030874467836093616,4,0.0026976471512980623,0,101.01008408075309,0,40,2,0,24,0.14015358618483478,13,0.19473535661031155,127,0.04328914904476785,76,1.0877726348115009,66,0.007616527240711532,15,0.22788798341295988,1,391.0481349680951,1,12,2,3,65,0.17051673847342377,53,1.0696362451009807,305,0.21463155563511627,372,4.265256463217767,0.0
Weymouth Town,Marlborough,476.0,52.11375502394134,2940549.0,43.420939,54.037559,57437,41793,65,0.015069698317352404,24,0.10553835237482019,8,530.2571023413332,7,64,8,74,194,0.33110272737314256,47,0.8569365733067039,589,0.8807351418714795,609,6.439462236988045,42,0.0064563012201589946,7,0.08785429742728115,1,580.0184334768032,3,2,6,3,65,0.5833250897466,33,1.7847637878570703,56,0.28979003025476846,179,20.013553154962057,4019062.0
Hanson,Abington,636.0,10.465981681454126,3490.0,4.752213,25.795963,2028,17062,0,0.0,1,0.0,0,43.67133944029507,0,0,0,0,1,0.0004326618372074684,5,0.1350385155180899,1,0.0,19,1.0765967501198628,2,0.000902007571641738,1,0.0,5,217.20502934483042,0,3,0,1,5,0.02999624246830199,14,0.3524881904119451,28,0.064001394992135,149,6.067036572979516,14285.0
Wellesley,Dedham,3309.0,10.75061566457285,193159.0,25.954492,26.600181,29550,25364,42,0.000812586511979834,7,0.00015911489694653755,0,401.2778973957156,1,5,2,5,55,0.0793786013388994,43,3.1639001815047907,196,0.17250651291554459,237,7.997220068888884,17,0.0024527887676866885,1,0.0,2,286.3814581115904,0,4,6,2,43,0.5097952201494916,37,1.10748467840975,82,0.13004510282654164,114,7.288323029293449,340705.0
Attleboro,Waltham,284.0,51.02792176783471,1923021.0,69.358023,33.005267,46461,65218,13,0.00026532084448971935,5,0.09319981895219163,1,545.7097249150937,1,2,2,1,25,0.21597649135875396,35,1.2873929543361848,64,0.20673263548711432,145,8.44489491547882,109,0.023935888571755146,20,0.15562959176295385,11,647.23345315583,1,26,20,22,113,0.7792433867602307,82,2.631169732144616,815,1.3186091142813408,225,4.78536618007074,2529550.0
Pinehurst,Hudson,178.0,31.409745562554413,2545014.0,9.659588,14.879753,7368,15749,1,0.0,0,0.0,1,92.71220623503237,0,2,0,1,7,0.022242641519024088,5,0.6829658925412979,3,0.003141754470279782,93,1.6209743959626788,32,0.005298419746811771,4,0.0015013863006810662,2,177.38952885359504,0,7,7,2,76,0.2346685867810327,16,0.33449581016680313,48,0.18189096026853616,66,1.1705652417779993,3547437.0
Palmer Town,Northampton,164.0,33.97150322159454,376551.0,81.782338,88.695636,12448,29571,5,0.001221171062224435,5,0.06406298352474717,8,331.7298774215112,2,2,0,0,18,0.020588237717623373,9,0.46315705322548634,58,0.10991998236141273,89,16.35478829061279,84,0.004722530113392924,22,0.9328785290492987,13,750.0886872709808,2,3,1,1,222,0.13524027710076517,59,1.638606112107956,334,0.6512207789404669,263,18.57867015609989,530848.0
Swampscott,Wakefield,206.0,14.733384564404437,564806.0,7.82679,19.145255,15111,27090,8,0.0030874467836093616,4,0.0026976471512980623,0,101.01008408075309,0,40,2,0,24,0.14015358618483478,13,0.19473535661031155,127,0.04328914904476785,76,1.0877726348115009,52,0.002592920613737113,10,0.006473816996617807,1,249.0860281264434,0,5,0,1,162,0.07942000874990299,26,0.6717092503634877,309,0.35012332825948467,202,5.085217406501908,668236.0
Hull,Waltham,96.0,29.98509590648938,2250184.0,7.437835,33.005267,10072,65218,18,0.0012943597041991984,0,0.0,3,109.43291276795343,0,16,7,1,16,0.012009266216119472,9,0.09009593888328597,45,0.07503656317424806,130,0.8099553272286,109,0.023935888571755146,20,0.15562959176295385,11,647.23345315583,1,26,20,22,113,0.7792433867602307,82,2.631169732144616,815,1.3186091142813408,225,4.78536618007074,3378925.0
Boston,Smith Mills,131.0,76.94308958197726,3335090.0,125.200663,12.089543,675647,4832,1450,0.05724389443581942,251,1.190334122652692,58,3189.9382382082404,5,148,41,30,1850,1.727495123500378,785,8.400720422852597,6289,12.52209669492453,3156,25.748634780782965,31,0.008463120400654505,4,0.0003072575568952861,0,121.20658908574731,0,0,1,0,58,0.3663338626546338,5,0.1134276807979013,33,0.33569283457782373,55,2.4652831527224826,3773765.0
Lowell,Springfield,133.0,115.81991703450771,4063827.0,35.251105,82.542449,115554,155929,72,0.009519970951700344,11,0.19854189837931216,22,602.332133348925,2,11,2,3,87,0.22356191516487456,127,2.0063368567079625,310,0.712960299528824,375,8.490100078749423,59,0.00462868146474279,23,0.4512027131503036,25,1095.5998745271843,3,6,10,6,71,1.0851517933118102,158,3.8730408093241895,661,2.0984998026876527,445,11.522221715225012,5069593.0
Fall River,Lowell,78.0,103.29805483298982,3596120.0,85.787944,35.251105,94000,115554,54,0.001031573956320055,11,0.13885172880385943,11,745.986656179776,2,6,6,4,78,0.49734771764405517,121,1.5214305127422603,413,0.18630806658519303,158,40.67802159213706,72,0.009519970951700344,11,0.19854189837931216,22,602.332133348925,2,11,2,3,87,0.22356191516487456,127,2.0063368567079625,310,0.712960299528824,375,8.490100078749423,4705630.0
Mansfield Center,Danvers,60.0,65.22109675327704,3449378.0,7.137613,34.392465,7830,28087,11,0.0005645423923892053,0,0.0,0,96.38324519241489,0,0,0,0,2,0.0,6,0.005340098509497721,22,0.03382000915643909,20,0.4460302309825801,50,0.014071518702156349,12,0.12111681598377028,4,460.9142357667802,1,9,8,1,133,0.8745537287347813,39,1.1797679016579303,625,1.8891536523508694,267,3.7185060250111315,4372645.0
Ipswich,Boston,461.0,40.7980485255182,1314447.0,4.245885,125.200663,4370,675647,8,0.0005965202437645805,1,0.0010445374366498368,0,61.46468640263129,0,2,0,0,13,0.0015937262910793316,3,0.029687057047184925,25,0.03799822685674421,56,1.9358841494908492,1450,0.05724389443581942,251,1.190334122652692,58,3189.9382382082404,5,148,41,30,1850,1.727495123500378,785,8.400720422852597,6289,12.52209669492453,3156,25.748634780782965,1594533.0
Medfield,Milton,209.0,18.948025802386244,364145.0,12.814819,33.698169,6939,28630,7,0.0002512360230636773,1,0.0,0,110.43790311379632,0,1,0,0,7,0.00872997739612328,13,0.6144222710652459,4,0.007242898951110688,100,3.925530214917394,1,0.0,3,0.09545599514632512,1,388.8542532617632,1,6,0,0,8,0.002870778392288939,30,1.5753774514679297,306,0.05197457594600423,170,24.19895369524031,535274.0
Melrose,Braintree Town,205.0,28.135813812304388,2328236.0,12.130224,35.644316,29817,39143,44,0.0016731930853660618,24,0.028129575841572378,0,196.44748574031578,0,2,0,0,117,0.019239384039440317,24,0.23814538676971336,330,0.18929537328080148,235,14.92033066134207,42,0.011278168061204729,12,0.13351869769812671,9,433.0148303337197,0,28,7,18,93,0.9167318454080762,39,1.1107640039046416,365,0.5120671446235322,196,20.162913087148155,3488885.0
Weymouth Town,Swampscott,82.0,29.31362541028333,1863640.0,43.420939,7.82679,57437,15111,65,0.015069698317352404,24,0.10553835237482019,8,530.2571023413332,7,64,8,74,194,0.33110272737314256,47,0.8569365733067039,589,0.8807351418714795,609,6.439462236988045,8,0.0030874467836093616,4,0.0026976471512980623,0,101.01008408075309,0,40,2,0,24,0.14015358618483478,13,0.19473535661031155,127,0.04328914904476785,76,1.0877726348115009,2715893.0
Gloucester,Amesbury Town,354.0,33.1301753331979,390678.0,67.85234,31.836415,29729,17366,39,0.003480684255308669,8,0.059309173059246316,18,574.6253375100438,1,1,0,0,26,0.012551525801432399,26,0.6143654915707679,244,0.28262781391008684,380,15.062241625017352,24,0.0014888067517307764,2,0.017631267331131496,12,273.2055934094344,1,0,0,1,47,0.014088070545628523,15,0.5803999372286386,57,0.14898196655158794,169,5.840130168326832,508061.0
Marlborough,Medford,144.0,36.90623684100045,1225265.0,54.037559,20.976098,41793,59659,42,0.0064563012201589946,7,0.08785429742728115,1,580.0184334768032,3,2,6,3,65,0.5833250897466,33,1.7847637878570703,56,0.28979003025476846,179,20.013553154962057,48,0.015994263377701014,19,0.07967683481440051,2,406.8945496241436,0,12,8,5,86,0.37059831875507115,49,0.8630889564881933,457,0.4483278107538897,216,15.025037558993455,1584839.0
Woburn,Leominster,175.0,50.64186515270266,3255352.0,32.762645,74.650497,40876,43782,64,0.01484690353657138,19,0.03717242496924714,0,483.7457307255892,0,19,4,7,428,0.7870977539045872,37,0.6642427726582256,716,1.0113631792086288,236,5.456457628124124,32,0.009068995955082836,8,0.13018688901448508,2,589.970071111363,0,17,12,1,73,0.8442034525667145,27,0.9707651606324907,167,0.2624733526810346,205,28.702742986584642,4299716.0
Medfield,Plymouth,104.0,58.37407467494275,3654219.0,12.814819,5.797216,6939,7667,7,0.0002512360230636773,1,0.0,0,110.43790311379632,0,1,0,0,7,0.00872997739612328,13,0.6144222710652459,4,0.007242898951110688,100,3.925530214917394,58,0.004129074186965567,1,0.0,0,100.18397149303573,0,1,1,1,40,0.019287228100635254,10,0.06018746527750046,69,0.10360777655133217,102,0.5737661153983338,4523203.0
Waltham,Peabody,76.0,27.608629988211835,2253479.0,33.005267,42.052588,65218,54481,109,0.023935888571755146,20,0.15562959176295385,11,647.23345315583,1,26,20,22,113,0.7792433867602307,82,2.631169732144616,815,1.3186091142813408,225,4.78536618007074,26,0.003864226681393455,11,0.0662451129897099,5,504.4339057498817,0,6,2,1,62,0.6525231555206544,38,0.9038978708828204,128,0.11383162835787417,289,6.773499351424956,3251585.0
Boston,Winchester,1037.0,16.38361984496149,1163700.0,125.200663,15.621817,675647,22970,1450,0.05724389443581942,251,1.190334122652692,58,3189.9382382082404,5,148,41,30,1850,1.727495123500378,785,8.400720422852597,6289,12.52209669492453,3156,25.748634780782965,24,0.0007363126447692948,12,0.03608099123637666,0,224.68420733080674,0,1,0,0,51,0.01832309866279129,21,0.3420494351363584,133,0.09974691278594587,143,16.2322874654035,1467491.0
Peabody,Newton,679.0,29.86328168634911,2237579.0,42.052588,46.173587,54481,88923,26,0.003864226681393455,11,0.0662451129897099,5,504.4339057498817,0,6,2,1,62,0.6525231555206544,38,0.9038978708828204,128,0.11383162835787417,289,6.773499351424956,73,0.01129215620097745,11,0.09369664583059274,0,728.8889718189816,1,14,5,5,94,0.36177077148500314,159,2.8448148995216096,534,0.29539057058942825,354,6.8339536525028795,3228682.0
Northampton,Lowell,220.0,116.29334732482458,1155059.0,88.695636,35.251105,29571,115554,84,0.004722530113392924,22,0.9328785290492987,13,750.0886872709808,2,3,1,1,222,0.13524027710076517,59,1.638606112107956,334,0.6512207789404669,263,18.57867015609989,72,0.009519970951700344,11,0.19854189837931216,22,602.332133348925,2,11,2,3,87,0.22356191516487456,127,2.0063368567079625,310,0.712960299528824,375,8.490100078749423,1138901.0
