name_o,name_d,total_pop_flow,d,s,area_o,area_d,m_o,m_d,food_point_o,food_poly_o,health_point_o,health_poly_o,industrial_landuse_o,main_road_line_o,natural_landuse_o,residential_landuse_o,retail_landuse_o,commercial_landuse_o,retail_point_o,retail_poly_o,school_point_o,school_poly_o,transport_point_o,transport_poly_o,entertainment_point_o,entertainment_poly_o,food_point_d,food_poly_d,health_point_d,health_poly_d,industrial_landuse_d,main_road_line_d,natural_landuse_d,residential_landuse_d,retail_landuse_d,commercial_landuse_d,retail_point_d,retail_poly_d,school_point_d,school_poly_d,transport_point_d,transport_poly_d,entertainment_point_d,entertainment_poly_d
Spring Valley Village,Missouri City,163.0,25.409463079443825,2575572.0,3.147973,75.135111,4229,74259,5,0.0,3,0.00046318102428003594,0,41.91540106802012,0,4,3,0,15,0.06761698070585233,8,0.023582137799272884,4,0.012432535572757053,17,0.0958211796341459,34,0.002368779326407853,10,0.0024581948533228043,2,784.0647413944771,1,4,15,2,152,1.3181616852208333,33,1.7225327573842057,35,0.17263172091488038,165,5.578583936651377
Spring Valley Village,Galveston,300.0,84.95025650736082,4194013.0,3.147973,106.329811,4229,53695,5,0.0,3,0.00046318102428003594,0,41.91540106802012,0,4,3,0,15,0.06761698070585233,8,0.023582137799272884,4,0.012432535572757053,17,0.0958211796341459,102,0.027530844776262216,21,0.04637306330586531,3,878.4187373659314,6,37,39,30,163,0.7351385942003638,89,1.5278638122611614,447,3.8507595159270256,736,20.035082960494098
Spring Valley Village,Dallas,50.0,354.86335357702654,10982400.0,3.147973,879.570173,4229,1304379,5,0.0,3,0.00046318102428003594,0,41.91540106802012,0,4,3,0,15,0.06761698070585233,8,0.023582137799272884,4,0.012432535572757053,17,0.0958211796341459,1383,0.3494894209238578,294,3.3492068433969306,285,13373.096819448574,21,99660,502,499,10170,28.313568098216262,1518,31.127841444359742,3437,22.259155097674682,3315,100.11177866776673
Spring Valley Village,Houston,10676.0,11.128066365530909,45862.0,3.147973,1658.719231,4229,2304580,5,0.0,3,0.00046318102428003594,0,41.91540106802012,0,4,3,0,15,0.06761698070585233,8,0.023582137799272884,4,0.012432535572757053,17,0.0958211796341459,2715,0.47747182787970716,0,0.0,424,0.0,34,2311,945,832,0,0.0,1690,58.87977241490981,0,0.0,0,0.0
Spring Valley Village,Cinco Ranch,50.0,25.38695225043843,2558673.0,3.147973,11.68221,4229,16899,5,0.0,3,0.00046318102428003594,0,41.91540106802012,0,4,3,0,15,0.06761698070585233,8,0.023582137799272884,4,0.012432535572757053,17,0.0958211796341459,6,0.0016230524919821157,1,0.0,0,191.6430083890202,0,34,7,8,14,0.3496153177000728,30,0.8190147617547063,62,0.09479485820216818,62,8.509588216069599
Colleyville,Temple,40.0,199.79201537690466,7476386.0,33.979836,185.196036,26057,82073,16,0.0018428274026397447,2,0.0004960293831793961,0,372.1384144371253,0,3,4,0,40,0.3447953546111963,20,0.7872687552956843,50,0.16808470768150105,191,2.045431870458398,23,0.0068036331523081,1,0.0014027860270835531,8,927.4531796256763,5,15,1,5,30,0.18734750994162802,19,0.21174559150402725,57,2.4989415772958186,81,4.951523606576239
Colleyville,Frisco,735.0,42.3284943208112,5089510.0,33.979836,177.773397,26057,200509,16,0.0018428274026397447,2,0.0004960293831793961,0,372.1384144371253,0,3,4,0,40,0.3447953546111963,20,0.7872687552956843,50,0.16808470768150105,191,2.045431870458398,155,0.0418150396179014,55,0.30866449300942594,5,2457.645041142269,2,130,43,25,454,5.629460392618001,144,6.636099435920566,481,2.4464818126264047,683,14.51669924977065
Colleyville,Double Oak,146.0,19.42244126603639,812594.0,33.979836,6.33523,26057,3054,16,0.0018428274026397447,2,0.0004960293831793961,0,372.1384144371253,0,3,4,0,40,0.3447953546111963,20,0.7872687552956843,50,0.16808470768150105,191,2.045431870458398,1,0.0002696432573021003,1,0.0009325505081384511,0,59.633983940501764,0,8,0,0,2,0.0006225883312590285,2,0.055053899252447996,0,0.0,1,0.0
Colleyville,Farmers Branch,260.0,25.63761118850903,2312032.0,33.979836,30.771559,26057,35991,16,0.0018428274026397447,2,0.0004960293831793961,0,372.1384144371253,0,3,4,0,40,0.3447953546111963,20,0.7872687552956843,50,0.16808470768150105,191,2.045431870458398,27,0.008141133397982994,5,0.0982747042402983,6,592.0261103915716,1,54,14,34,402,1.4761918784678223,32,1.2089807395839756,160,0.7036213383924851,166,5.1768685196457005
Colleyville,Irving,1643.0,17.198167272923662,555910.0,33.979836,173.474996,26057,256684,16,0.0018428274026397447,2,0.0004960293831793961,0,372.1384144371253,0,3,4,0,40,0.3447953546111963,20,0.7872687552956843,50,0.16808470768150105,191,2.045431870458398,197,0.05364389666381306,34,0.32884129086150315,48,2540.717647694282,5,235,70,66,628,3.951529217366318,184,5.421412591866186,756,15.485352319923262,575,27.793871258865483
