name,m,area
Clifton,3465,5.309416
Meridian,1396,5.400354
Katy,21894,37.669505
Dimmitt,4171,8.159402
Balch Springs,27685,23.373189
Cockrell Hill,3815,1.507303
DeSoto,56145,56.030427
Odessa,114428,133.300321
University Park,25278,9.546107
Addison,16661,11.273468
Bellaire,17202,9.31578
Midland,132524,195.503694
Groves,17335,13.418643
Socorro,34306,56.842711
Houston,2304580,1658.719231
Batesville,787,15.319581
Briar,7035,52.652468
Canyon Lake,31124,369.623499
Cross Mountain,3944,15.852138
Eidson Road,9461,18.26983
Aldine,15999,20.387643
Atascocita,88174,61.838019
Bluetown,491,7.591597
Bolivar Peninsula,2769,110.013525
Brushy Creek,22519,16.707968
Buna,2137,15.524068
Channelview,45688,37.320453
Cienegas Terrace,3025,8.273354
Cinco Ranch,16899,11.68221
Cloverleaf,24100,7.996114
Doffing,5618,11.218871
El Refugio,407,1.616347
Fort Bliss,11260,46.413134
Fort Hood,28295,50.095766
Grape Creek,3594,40.552654
Holly Lake Ranch,2951,22.467601
Lakehills,5295,78.503125
Four Corners,12103,6.293187
Fresno,24486,22.077692
Mission Bend,36914,12.345407
Lackland AFB,9467,10.968263
La Homa,11267,16.350271
Las Lomitas,235,10.230034
Pecan Grove,22782,21.427754
Powderly,1261,18.851438
Ranchette Estates,106,1.556301
Redwood,4003,16.704955
San Leon,6135,12.286058
Scenic Oaks,10458,20.435224
Spring,62559,58.249357
Rancho Chico,387,1.335074
The Woodlands,114436,112.076184
Potosi,3947,47.514933
Rancho Alegre,1415,3.309209
Randolph AFB,1280,10.668233
San Pedro,442,3.182579
Rendon,13533,63.794052
Timberwood Park,35217,52.774079
West Livingston,8156,61.552863
West Odessa,33340,160.940934
Wild Peach Village,2329,25.919865
