name,m,area
Plainview,27100,14.825128
Port Ewen,3678,5.410895
Port Washington,16753,10.880599
Putnam Lake,3776,11.793366
Remsenburg-Speonk,3110,9.321189
Ridge,13271,34.167959
Riverhead,14993,39.091457
Rocky Point,13633,29.318482
Ronkonkoma,18955,20.999858
Roosevelt,18066,4.584995
Roslyn Heights,6747,3.821589
Rotterdam,22968,21.24823
Salem,811,7.597609
Salisbury,12618,4.520312
Scotchtown,10578,12.528524
Seaford,15251,6.75928
Searingtown,5044,2.413224
Selden,21262,11.781701
Shelter Island,1602,16.974381
Shirley,26360,29.302739
Smithtown,25629,30.891551
Sound Beach,7416,4.23891
South Hill,7245,15.270487
South Huntington,9561,8.845402
South Lockport,9355,16.053045
Stony Brook,13467,15.082104
Stony Point,12126,15.247775
Syosset,19259,12.885287
Terryville,11472,8.170832
Tillson,1516,6.073456
North Bellmore,20583,6.786406
North Massapequa,17829,7.7548
North Merrick,12238,4.451873
Orange Lake,9770,22.619188
Plattsburgh West,1382,4.907597
St. James,13487,11.820361
Sayville,16569,13.759863
Thornwood,3960,2.892642
South Farmingdale,14345,5.679332
South Hempstead,3406,1.497817
South Valley Stream,6386,2.252667
Tappan,6673,7.141312
Thiells,5240,4.702225
Titusville,729,1.788717
Uniondale,32473,14.792087
University at Buffalo,6798,3.496629
Vails Gate,3368,2.670846
Valhalla,3213,2.148536
Valley Cottage,9038,11.389829
Village Green,3834,2.988671
Wading River,7731,25.332009
Wallkill,2166,7.943527
Walton Park,3907,7.988857
Wantagh,18613,9.919069
Warrensburg,3045,17.497428
Wells,531,19.996514
West Babylon,43213,21.898761
West Bay Shore,4625,5.65477
West Elmira,4850,7.869039
West Glens Falls,9473,17.219401
Westhampton,3621,32.747764
West Hempstead,19835,6.883715
West Hills,5385,12.708747
West Hurley,1917,9.808986
West Islip,27048,15.78251
Westmere,7560,8.208195
West Point,7341,47.746843
West Sayville,4872,4.970048
West Seneca,45500,55.391223
Westvale,5090,3.493179
Wheatley Heights,5140,3.41319
Woodmere,18669,6.683714
Wyandanch,12990,5.623609
Yaphank,5974,35.336639
Zena,1038,7.9188
University Gardens,4358,1.375443
Williamson,2418,9.94621
